Variable,Year,Total value
Sugar supply,1995,4568.5
Sugar supply,1996,4646.900000000001
Sugar supply,1997,4721.900000000001
Sugar supply,1998,4706.1
Sugar supply,1999,4687.1
Sugar supply,2000,4575.0
Sugar supply,2001,4594.599999999999
Sugar supply,2002,4555.0
Sugar supply,2003,4560.900000000001
Sugar supply,2004,4579.9
Sugar supply,2005,4526.7
Sugar supply,2006,4419.199999999999
Sugar supply,2007,4447.900000000001
Sugar supply,2008,4462.3
Sugar supply,2009,4449.999999999999
Sugar supply,2010,5835.3
Sugar supply,2011,5898.099999999999
Sugar supply,2012,6024.5
Sugar supply,2013,5988.3
Sugar supply,2014,5497.9000000000015
Sugar supply,2015,5445.000000000001
Sugar supply,2016,5482.1
Sugar supply,2017,5576.2
Sugar supply,2018,5535.600000000001
Sugar supply,2019,5464.200000000001
Sugar supply,2020,5515.3
Total fat supply,1995,4528.7
Total fat supply,1996,4566.4
Total fat supply,1997,4585.4
Total fat supply,1998,4638.099999999999
Total fat supply,1999,4654.7
Total fat supply,2000,4667.3
Total fat supply,2001,4715.6
Total fat supply,2002,4770.999999999999
Total fat supply,2003,4755.700000000001
Total fat supply,2004,4805.599999999999
Total fat supply,2005,4838.1
Total fat supply,2006,4883.199999999999
Total fat supply,2007,4895.299999999999
Total fat supply,2008,4900.1
Total fat supply,2009,4884.8
Total fat supply,2010,4906.9
Total fat supply,2011,4945.300000000001
Total fat supply,2012,4924.399999999999
Total fat supply,2013,4927.9
Total fat supply,2014,4957.7
Total fat supply,2015,5026.400000000001
Total fat supply,2016,5056.999999999999
Total fat supply,2017,5126.4
Total fat supply,2018,5195.099999999999
Total fat supply,2019,5333.299999999999
Total fat supply,2020,5390.499999999999
Total protein supply,1995,3736.3
Total protein supply,1996,3730.7000000000003
Total protein supply,1997,3709.1
Total protein supply,1998,3750.1999999999994
Total protein supply,1999,3773.0
Total protein supply,2000,3770.800000000001
Total protein supply,2001,3797.2999999999997
Total protein supply,2002,3818.0000000000005
Total protein supply,2003,3813.2
Total protein supply,2004,3815.0
Total protein supply,2005,3838.1
Total protein supply,2006,3859.699999999999
Total protein supply,2007,3885.5999999999995
Total protein supply,2008,3877.9
Total protein supply,2009,3848.1999999999994
Total protein supply,2010,3855.2
Total protein supply,2011,3850.1
Total protein supply,2012,3830.2999999999997
Total protein supply,2013,3853.2999999999997
Total protein supply,2014,3860.6999999999994
Total protein supply,2015,3874.900000000001
Total protein supply,2016,3919.9
Total protein supply,2017,3928.4
Total protein supply,2018,3966.7
Total protein supply,2019,3997.8
Total protein supply,2020,3998.6000000000004
