Country,Year,Total fat supply,Total protein supply,Sugar supply
Australia,1995,125.4,107.8,131.8
Australia,1996,124.9,105.7,123.8
Australia,1997,127.1,104.0,134.2
Australia,1998,124.8,101.3,131.8
Australia,1999,130.5,101.3,120.3
Australia,2000,130.0,101.3,123.3
Australia,2001,134.3,100.8,124.9
Australia,2002,131.2,104.8,125.2
Australia,2003,131.0,109.6,128.5
Australia,2004,134.0,101.5,128.2
Australia,2005,137.3,104.9,128.2
Australia,2006,143.4,104.6,127.1
Australia,2007,143.9,108.3,129.9
Australia,2008,141.0,106.5,128.8
Australia,2009,143.6,103.3,125.8
Australia,2010,151.3,110.9,358.9
Australia,2011,155.2,110.7,354.8
Australia,2012,156.4,110.1,355.1
Australia,2013,152.7,109.4,355.3
Australia,2014,158.2,107.8,120.3
Australia,2015,159.5,108.2,116.4
Australia,2016,160.7,109.0,120.8
Australia,2017,159.0,106.7,118.6
Australia,2018,160.6,107.8,114.2
Australia,2019,160.9,110.9,112.9
Australia,2020,155.7,114.9,112.9
Austria,1995,152.8,100.5,131.5
Austria,1996,155.9,103.2,130.7
Austria,1997,156.7,100.1,127.9
Austria,1998,156.3,104.0,126.6
Austria,1999,157.2,105.5,126.6
Austria,2000,159.0,106.0,127.4
Austria,2001,160.7,106.9,124.7
Austria,2002,154.3,106.1,123.0
Austria,2003,151.3,102.1,126.8
Austria,2004,155.6,100.5,130.1
Austria,2005,152.3,102.7,135.9
Austria,2006,162.3,101.5,133.7
Austria,2007,162.8,103.7,128.5
Austria,2008,161.9,101.8,133.7
Austria,2009,167.8,102.4,128.2
Austria,2010,174.2,106.2,126.6
Austria,2011,173.3,107.3,127.4
Austria,2012,172.8,102.8,126.3
Austria,2013,171.7,105.0,121.9
Austria,2014,162.2,106.5,123.0
Austria,2015,163.7,107.1,128.5
Austria,2016,162.3,109.6,132.9
Austria,2017,165.5,107.4,130.1
Austria,2018,166.0,109.8,124.9
Austria,2019,178.5,109.1,111.0
Austria,2020,183.7,106.1,100.8
Belgium,1995,164.9,99.3,149.5
Belgium,1996,164.9,99.3,149.5
Belgium,1997,164.9,99.3,149.5
Belgium,1998,164.9,99.3,149.5
Belgium,1999,164.9,99.3,149.5
Belgium,2000,161.5,96.6,150.7
Belgium,2001,164.9,100.8,149.3
Belgium,2002,165.8,100.6,148.2
Belgium,2003,162.1,99.5,149.6
Belgium,2004,160.8,99.3,146.6
Belgium,2005,163.3,99.3,145.8
Belgium,2006,163.6,100.1,139.7
Belgium,2007,165.2,101.2,138.1
Belgium,2008,162.4,98.4,144.1
Belgium,2009,159.4,96.1,149.0
Belgium,2010,161.3,96.9,148.8
Belgium,2011,167.7,96.6,133.2
Belgium,2012,161.6,99.0,148.2
Belgium,2013,162.3,99.6,142.2
Belgium,2014,161.7,98.5,146.0
Belgium,2015,166.6,98.9,168.5
Belgium,2016,165.2,99.8,161.1
Belgium,2017,166.9,98.5,161.9
Belgium,2018,163.4,98.1,171.5
Belgium,2019,177.0,103.1,157.8
Belgium,2020,179.7,104.8,140.0
Canada,1995,135.5,98.0,130.4
Canada,1996,136.4,98.7,135.9
Canada,1997,142.3,100.5,141.1
Canada,1998,148.3,103.3,142.5
Canada,1999,146.9,107.1,134.2
Canada,2000,147.5,106.1,138.6
Canada,2001,145.5,105.1,144.9
Canada,2002,142.3,105.3,152.6
Canada,2003,148.1,104.0,153.2
Canada,2004,147.4,104.8,148.8
Canada,2005,144.3,102.1,147.4
Canada,2006,143.2,103.5,144.7
Canada,2007,144.9,104.4,146.0
