Country,Year,Value
Australia,1995,9.8
Australia,1996,10.0
Australia,1997,10.2
Australia,1998,10.0
Australia,1999,10.0
Australia,2000,10.2
Australia,2001,10.0
Australia,2002,10.4
Australia,2003,10.3
Australia,2004,10.5
Australia,2005,10.5
Australia,2006,10.8
Australia,2007,10.8
Australia,2008,10.8
Australia,2009,10.7
Australia,2010,10.4
Australia,2011,10.2
Australia,2012,10.0
Australia,2013,9.9
Australia,2014,9.7
Australia,2015,9.8
Australia,2016,9.5
Australia,2017,9.5
Australia,2018,10.2
Australia,2019,10.2
Australia,2020,10.2
Austria,1995,13.4
Austria,1996,13.5
Austria,1997,12.9
Austria,1998,12.9
Austria,1999,12.8
Austria,2000,13.2
Austria,2001,12.3
Austria,2002,12.1
Austria,2003,12.3
Austria,2004,12.1
Austria,2005,12.2
Austria,2006,12.5
Austria,2007,12.5
Austria,2008,12.0
Austria,2009,11.8
Austria,2010,12.1
Austria,2011,11.9
Austria,2012,12.1
Austria,2013,11.9
Austria,2014,12.2
Austria,2015,11.2
Austria,2016,11.4
Austria,2017,11.3
Austria,2018,11.3
Austria,2019,11.6
Austria,2020,11.3
Belgium,1995,11.0
Belgium,1996,10.9
Belgium,1997,10.9
Belgium,1998,9.9
Belgium,1999,10.1
Belgium,2000,11.2
Belgium,2001,11.0
Belgium,2002,11.3
Belgium,2003,11.3
Belgium,2004,12.1
Belgium,2005,12.2
Belgium,2006,10.9
Belgium,2007,10.3
Belgium,2008,10.5
Belgium,2009,10.1
Belgium,2010,10.3
Belgium,2011,10.1
Belgium,2012,10.1
Belgium,2013,10.3
Belgium,2014,10.6
Belgium,2015,10.4
Belgium,2016,9.4
Belgium,2017,9.3
Belgium,2018,9.2
Belgium,2019,9.2
Belgium,2020,10.5
Canada,1995,7.4
Canada,1996,7.4
Canada,1997,7.2
Canada,1998,7.3
Canada,1999,7.5
Canada,2000,7.6
Canada,2001,7.6
Canada,2002,7.7
Canada,2003,7.7
Canada,2004,7.8
Canada,2005,8.0
Canada,2006,8.2
Canada,2007,8.4
Canada,2008,8.4
Canada,2009,8.4
Canada,2010,8.4
Canada,2011,8.2
Canada,2012,8.3
Canada,2013,8.2
Canada,2014,8.0
Canada,2015,8.0
Canada,2016,8.1
Canada,2017,8.2
Canada,2018,8.2
Canada,2019,8.0
Canada,2020,8.1
Chile,1995,8.3
Chile,1996,7.4
Chile,1997,6.6
Chile,1998,7.3
Chile,1999,7.6
Chile,2000,6.2
Chile,2001,6.2
Chile,2002,5.5
Chile,2003,6.5
Chile,2004,6.8
Chile,2005,7.2
Chile,2006,6.9
Chile,2007,7.4
Chile,2008,7.4
Chile,2009,7.2
Chile,2010,7.6
Chile,2011,7.1
Chile,2012,8.3
Chile,2013,7.2
Chile,2014,7.9
Chile,2015,7.9
Chile,2016,6.4
Chile,2017,5.7
Chile,2018,6.3
Chile,2019,7.1
Chile,2020,7.0
Colombia,1995,7.0
Colombia,1996,6.7
Colombia,1997,6.5
Colombia,1998,6.6
Colombia,1999,6.3
Colombia,2000,4.5
Colombia,2001,4.3
Colombia,2002,4.3
Colombia,2003,4.1
Colombia,2004,4.1
Colombia,2005,4.3
Colombia,2006,4.4
Colombia,2007,4.5
Colombia,2008,4.4
Colombia,2009,4.2
Colombia,2010,4.2
Colombia,2011,4.3
Colombia,2012,4.4
Colombia,2013,4.3
Colombia,2014,4.2
Colombia,2015,4.2
Colombia,2016,4.5
Colombia,2017,4.2
Colombia,2018,4.2
Colombia,2019,4.1
Colombia,2020,4.8
Costa Rica,1995,5.9
Costa Rica,1996,5.6
Costa Rica,1997,5.6
Costa Rica,1998,5.6
Costa Rica,1999,5.4
Costa Rica,2000,4.2
Costa Rica,2001,4.3
Costa Rica,2002,4.2
Costa Rica,2003,4.1
Costa Rica,2004,4.1
Costa Rica,2005,4.1
Costa Rica,2006,4.2
Costa Rica,2007,4.3
Costa Rica,2008,4.3
Costa Rica,2009,4.1
Costa Rica,2010,3.7
Costa Rica,2011,3.3
Costa Rica,2012,3.2
Costa Rica,2013,3.1
Costa Rica,2014,3.2
Costa Rica,2015,3.2
Costa Rica,2016,3.4
Costa Rica,2017,3.3
Costa Rica,2018,3.3
Costa Rica,2019,3.1
Costa Rica,2020,3.2
Czech Republic,1995,11.5
Czech Republic,1996,11.6
Czech Republic,1997,11.9
Czech Republic,1998,11.8
Czech Republic,1999,11.9
Czech Republic,2000,11.8
Czech Republic,2001,11.8
Czech Republic,2002,11.9
Czech Republic,2003,12.1
Czech Republic,2004,11.5
Czech Republic,2005,12.0
Czech Republic,2006,11.9
Czech Republic,2007,12.1
Czech Republic,2008,12.1
Czech Republic,2009,12.1
Czech Republic,2010,11.4
Czech Republic,2011,11.5
Czech Republic,2012,11.6
Czech Republic,2013,11.5
Czech Republic,2014,11.9
Czech Republic,2015,11.5
Czech Republic,2016,11.7
Czech Republic,2017,11.6
Czech Republic,2018,11.8
Czech Republic,2019,11.9
Czech Republic,2020,11.6
Denmark,1995,12.7
Denmark,1996,12.7
Denmark,1997,12.6
Denmark,1998,12.1
Denmark,1999,12.1
Denmark,2000,12.2
Denmark,2001,12.0
Denmark,2002,11.8
Denmark,2003,12.0
Denmark,2004,11.8
Denmark,2005,11.8
Denmark,2006,11.6
Denmark,2007,11.6
Denmark,2008,11.3
Denmark,2009,10.6
Denmark,2010,10.8
Denmark,2011,11.0
Denmark,2012,9.8
Denmark,2013,10.0
Denmark,2014,10.1
Denmark,2015,9.9
Denmark,2016,10.0
Denmark,2017,9.7
Denmark,2018,9.7
Denmark,2019,9.5
Denmark,2020,9.7
Estonia,1995,8.3
Estonia,1996,8.0
Estonia,1997,8.3
Estonia,1998,8.0
Estonia,1999,8.9
Estonia,2000,9.0
Estonia,2001,10.1
Estonia,2002,12.0
Estonia,2003,11.8
Estonia,2004,11.5
Estonia,2005,13.0
Estonia,2006,13.4
Estonia,2007,14.8
Estonia,2008,14.2
Estonia,2009,11.9
Estonia,2010,11.4
Estonia,2011,12.0
Estonia,2012,12.1
Estonia,2013,11.9
Estonia,2014,11.1
Estonia,2015,10.6
Estonia,2016,10.2
Estonia,2017,10.3
Estonia,2018,10.0
Estonia,2019,10.4
Estonia,2020,10.8
Finland,1995,8.3
Finland,1996,8.2
Finland,1997,8.6
Finland,1998,8.6
Finland,1999,8.6
Finland,2000,8.6
Finland,2001,9.0
Finland,2002,9.2
Finland,2003,9.3
Finland,2004,9.9
Finland,2005,10.0
Finland,2006,10.1
Finland,2007,10.5
Finland,2008,10.3
Finland,2009,10.0
Finland,2010,9.7
Finland,2011,9.8
Finland,2012,9.3
Finland,2013,9.1
Finland,2014,8.8
Finland,2015,8.5
Finland,2016,8.4
Finland,2017,8.4
Finland,2018,8.4
Finland,2019,8.2
Finland,2020,8.2
France,1995,14.5
France,1996,14.5
France,1997,14.3
France,1998,14.5
France,1999,14.4
France,2000,13.9
France,2001,14.1
France,2002,13.9
France,2003,13.4
France,2004,13.1
France,2005,12.9
France,2006,13.1
France,2007,12.9
France,2008,12.5
France,2009,12.6
France,2010,12.3
France,2011,12.4
France,2012,12.2
France,2013,11.6
France,2014,12.0
France,2015,11.9
France,2016,11.7
France,2017,11.7
France,2018,11.6
France,2019,11.4
France,2020,10.4
Germany,1995,13.4
Germany,1996,13.1
Germany,1997,13.0
Germany,1998,12.7
Germany,1999,12.8
Germany,2000,12.9
Germany,2001,12.5
Germany,2002,12.3
Germany,2003,11.9
Germany,2004,11.8
Germany,2005,11.7
Germany,2006,11.8
Germany,2007,11.5
Germany,2008,11.4
Germany,2009,11.2
Germany,2010,11.6
Germany,2011,11.3
Germany,2012,11.3
Germany,2013,11.1
Germany,2014,11.1
Germany,2015,11.1
Germany,2016,11.0
Germany,2017,10.9
Germany,2018,10.9
Germany,2019,10.6
Germany,2020,11.8
Greece,1995,10.1
Greece,1996,9.7
Greece,1997,9.5
Greece,1998,9.0
Greece,1999,9.5
Greece,2000,8.6
Greece,2001,8.8
Greece,2002,8.2
Greece,2003,8.9
Greece,2004,9.1
Greece,2005,9.2
Greece,2006,8.7
Greece,2007,8.9
Greece,2008,8.7
Greece,2009,8.3
Greece,2010,8.3
Greece,2011,7.5
Greece,2012,7.6
Greece,2013,7.6
Greece,2014,7.1
Greece,2015,6.7
Greece,2016,6.7
Greece,2017,6.7
Greece,2018,6.5
Greece,2019,6.3
Greece,2020,8.2
Hungary,1995,12.2
Hungary,1996,12.5
Hungary,1997,12.3
