Country,Year,Value
Australia,1995,77.8
Australia,1996,78.1
Australia,1997,78.4
Australia,1998,78.6
Australia,1999,78.9
Australia,2000,79.2
Australia,2001,79.6
Australia,2002,79.9
Australia,2003,80.2
Australia,2004,80.5
Australia,2005,80.8
Australia,2006,81.0
Australia,2007,81.3
Australia,2008,81.4
Australia,2009,81.5
Australia,2010,81.7
Australia,2011,81.9
Australia,2012,82.0
Australia,2013,82.1
Australia,2014,82.3
Australia,2015,82.4
Australia,2016,82.4
Australia,2017,82.5
Australia,2018,82.7
Australia,2019,82.9
Australia,2020,83.2
Austria,1995,76.9
Austria,1996,77.1
Austria,1997,77.5
Austria,1998,77.9
Austria,1999,78.1
Austria,2000,78.3
Austria,2001,78.8
Austria,2002,78.9
Austria,2003,78.8
Austria,2004,79.3
Austria,2005,79.5
Austria,2006,80.1
Austria,2007,80.3
Austria,2008,80.6
Austria,2009,80.5
Austria,2010,80.7
Austria,2011,81.1
Austria,2012,81.1
Austria,2013,81.3
Austria,2014,81.6
Austria,2015,81.3
Austria,2016,81.8
Austria,2017,81.7
Austria,2018,81.8
Austria,2019,82.0
Austria,2020,81.3
Belgium,1995,77.0
Belgium,1996,77.3
Belgium,1997,77.5
Belgium,1998,77.6
Belgium,1999,77.7
Belgium,2000,77.9
Belgium,2001,78.1
Belgium,2002,78.2
Belgium,2003,78.3
Belgium,2004,79.0
Belgium,2005,79.1
Belgium,2006,79.5
Belgium,2007,79.9
Belgium,2008,79.8
Belgium,2009,80.2
Belgium,2010,80.3
Belgium,2011,80.7
Belgium,2012,80.5
Belgium,2013,80.7
Belgium,2014,81.4
Belgium,2015,81.1
Belgium,2016,81.5
Belgium,2017,81.6
Belgium,2018,81.7
Belgium,2019,82.1
Belgium,2020,80.8
Canada,1995,78.1
Canada,1996,78.3
Canada,1997,78.5
Canada,1998,78.7
Canada,1999,78.9
Canada,2000,79.3
Canada,2001,79.5
Canada,2002,79.6
Canada,2003,79.8
Canada,2004,80.1
Canada,2005,80.2
Canada,2006,80.7
Canada,2007,80.7
Canada,2008,80.8
Canada,2009,81.2
Canada,2010,81.4
Canada,2011,81.6
Canada,2012,81.8
Canada,2013,81.8
Canada,2014,81.9
Canada,2015,81.9
Canada,2016,82.0
Canada,2017,81.9
Canada,2018,81.9
Canada,2019,82.3
Canada,2020,81.7
Chile,1995,75.0
