Country,Year,Value
Australia,2015,82.4
Austria,2015,81.3
Belgium,2015,81.1
Canada,2015,81.9
Chile,2015,79.8
Colombia,2015,75.4
Costa Rica,2015,79.9
Czech Republic,2015,78.7
Denmark,2015,80.8
Estonia,2015,78.0
Finland,2015,81.6
France,2015,82.4
Germany,2015,80.7
Greece,2015,81.1
Hungary,2015,75.7
Iceland,2015,82.5
Ireland,2015,81.5
Israel,2015,82.2
Italy,2015,82.7
Japan,2015,83.9
Latvia,2015,74.8
Lithuania,2015,74.6
Luxembourg,2015,82.4
Mexico,2015,74.7
Netherlands,2015,81.6
New Zealand,2015,81.5
Norway,2015,82.4
Poland,2015,77.5
Portugal,2015,81.3
Slovakia,2015,76.7
Slovenia,2015,80.9
South Korea,2015,82.1
Spain,2015,83.0
Sweden,2015,82.2
Switzerland,2015,83.0
Turkey,2015,78.0
United Kingdom,2015,80.9
United States of America,2015,78.7
