Variable,Country,Year,Value
Total fat supply,Australia,1995,125.4
Total fat supply,Australia,1996,124.9
Total fat supply,Australia,1997,127.1
Total fat supply,Australia,1998,124.8
Total fat supply,Australia,1999,130.5
Total fat supply,Australia,2000,130.0
Total fat supply,Australia,2001,134.3
Total fat supply,Australia,2002,131.2
Total fat supply,Australia,2003,131.0
Total fat supply,Australia,2004,134.0
Total fat supply,Australia,2005,137.3
Total fat supply,Australia,2006,143.4
Total fat supply,Australia,2007,143.9
Total fat supply,Australia,2008,141.0
Total fat supply,Australia,2009,143.6
Total fat supply,Australia,2010,151.3
Total fat supply,Australia,2011,155.2
Total fat supply,Australia,2012,156.4
Total fat supply,Australia,2013,152.7
Total fat supply,Australia,2014,158.2
Total fat supply,Australia,2015,159.5
Total fat supply,Australia,2016,160.7
Total fat supply,Australia,2017,159.0
Total fat supply,Australia,2018,160.6
Total fat supply,Australia,2019,160.9
Total fat supply,Australia,2020,155.7
Total fat supply,Austria,1995,152.8
Total fat supply,Austria,1996,155.9
Total fat supply,Austria,1997,156.7
Total fat supply,Austria,1998,156.3
Total fat supply,Austria,1999,157.2
Total fat supply,Austria,2000,159.0
Total fat supply,Austria,2001,160.7
Total fat supply,Austria,2002,154.3
Total fat supply,Austria,2003,151.3
Total fat supply,Austria,2004,155.6
Total fat supply,Austria,2005,152.3
Total fat supply,Austria,2006,162.3
Total fat supply,Austria,2007,162.8
Total fat supply,Austria,2008,161.9
Total fat supply,Austria,2009,167.8
Total fat supply,Austria,2010,174.2
Total fat supply,Austria,2011,173.3
Total fat supply,Austria,2012,172.8
Total fat supply,Austria,2013,171.7
Total fat supply,Austria,2014,162.2
Total fat supply,Austria,2015,163.7
Total fat supply,Austria,2016,162.3
Total fat supply,Austria,2017,165.5
Total fat supply,Austria,2018,166.0
Total fat supply,Austria,2019,178.5
Total fat supply,Austria,2020,183.7
Total fat supply,Belgium,2000,161.5
Total fat supply,Belgium,2001,164.9
Total fat supply,Belgium,2002,165.8
Total fat supply,Belgium,2003,162.1
Total fat supply,Belgium,2004,160.8
Total fat supply,Belgium,2005,163.3
Total fat supply,Belgium,2006,163.6
Total fat supply,Belgium,2007,165.2
Total fat supply,Belgium,2008,162.4
Total fat supply,Belgium,2009,159.4
Total fat supply,Belgium,2010,161.3
Total fat supply,Belgium,2011,167.7
Total fat supply,Belgium,2012,161.6
Total fat supply,Belgium,2013,162.3
Total fat supply,Belgium,2014,161.7
Total fat supply,Belgium,2015,166.6
Total fat supply,Belgium,2016,165.2
Total fat supply,Belgium,2017,166.9
Total fat supply,Belgium,2018,163.4
Total fat supply,Belgium,2019,177.0
Total fat supply,Belgium,2020,179.7
Total fat supply,Canada,1995,135.5
Total fat supply,Canada,1996,136.4
Total fat supply,Canada,1997,142.3
Total fat supply,Canada,1998,148.3
Total fat supply,Canada,1999,146.9
Total fat supply,Canada,2000,147.5
Total fat supply,Canada,2001,145.5
Total fat supply,Canada,2002,142.3
Total fat supply,Canada,2003,148.1
Total fat supply,Canada,2004,147.4
Total fat supply,Canada,2005,144.3
Total fat supply,Canada,2006,143.2
Total fat supply,Canada,2007,144.9
Total fat supply,Canada,2008,145.8
Total fat supply,Canada,2009,145.3
Total fat supply,Canada,2010,144.8
Total fat supply,Canada,2011,150.2
Total fat supply,Canada,2012,141.7
Total fat supply,Canada,2013,142.7
Total fat supply,Canada,2014,157.1
Total fat supply,Canada,2015,158.5
Total fat supply,Canada,2016,157.5
Total fat supply,Canada,2017,157.5
Total fat supply,Canada,2018,159.2
Total fat supply,Canada,2019,158.3
Total fat supply,Canada,2020,161.7
Total fat supply,Czech Republic,1995,107.1
Total fat supply,Czech Republic,1996,111.2
Total fat supply,Czech Republic,1997,110.4
Total fat supply,Czech Republic,1998,116.2
Total fat supply,Czech Republic,1999,114.0
Total fat supply,Czech Republic,2000,111.5
Total fat supply,Czech Republic,2001,114.1
Total fat supply,Czech Republic,2002,115.5
Total fat supply,Czech Republic,2003,120.4
Total fat supply,Czech Republic,2004,116.8
Total fat supply,Czech Republic,2005,128.1
Total fat supply,Czech Republic,2006,137.7
Total fat supply,Czech Republic,2007,134.3
Total fat supply,Czech Republic,2008,137.7
Total fat supply,Czech Republic,2009,136.2
Total fat supply,Czech Republic,2010,137.7
Total fat supply,Czech Republic,2011,133.3
Total fat supply,Czech Republic,2012,137.0
Total fat supply,Czech Republic,2013,137.1
Total fat supply,Czech Republic,2014,128.5
Total fat supply,Czech Republic,2015,125.0
Total fat supply,Czech Republic,2016,137.3
Total fat supply,Czech Republic,2017,140.9
Total fat supply,Czech Republic,2018,146.0
Total fat supply,Czech Republic,2019,150.6
Total fat supply,Czech Republic,2020,152.3
Total fat supply,Denmark,1995,140.3
Total fat supply,Denmark,1996,133.7
Total fat supply,Denmark,1997,128.9
Total fat supply,Denmark,1998,134.1
Total fat supply,Denmark,1999,131.7
Total fat supply,Denmark,2000,134.0
Total fat supply,Denmark,2001,135.5
Total fat supply,Denmark,2002,130.6
Total fat supply,Denmark,2003,130.1
Total fat supply,Denmark,2004,133.4
Total fat supply,Denmark,2005,137.5
Total fat supply,Denmark,2006,130.9
Total fat supply,Denmark,2007,130.4
Total fat supply,Denmark,2008,127.2
Total fat supply,Denmark,2009,131.3
Total fat supply,Denmark,2010,126.8
Total fat supply,Denmark,2011,129.9
Total fat supply,Denmark,2012,129.1
Total fat supply,Denmark,2013,131.4
Total fat supply,Denmark,2014,131.4
Total fat supply,Denmark,2015,131.4
Total fat supply,Denmark,2016,133.7
Total fat supply,Denmark,2017,133.2
Total fat supply,Denmark,2018,136.9
Total fat supply,Denmark,2019,145.9
Total fat supply,Denmark,2020,144.6
Total fat supply,Finland,1995,127.9
Total fat supply,Finland,1996,124.2
Total fat supply,Finland,1997,130.0
Total fat supply,Finland,1998,133.7
Total fat supply,Finland,1999,128.1
Total fat supply,Finland,2000,122.9
Total fat supply,Finland,2001,126.5
Total fat supply,Finland,2002,127.5
Total fat supply,Finland,2003,126.0
Total fat supply,Finland,2004,126.1
Total fat supply,Finland,2005,127.5
Total fat supply,Finland,2006,129.1
Total fat supply,Finland,2007,131.7
Total fat supply,Finland,2008,131.7
Total fat supply,Finland,2009,131.1
Total fat supply,Finland,2010,133.3
Total fat supply,Finland,2011,137.7
Total fat supply,Finland,2012,141.3
Total fat supply,Finland,2013,141.4
Total fat supply,Finland,2014,142.1
Total fat supply,Finland,2015,140.7
Total fat supply,Finland,2016,140.8
Total fat supply,Finland,2017,139.6
Total fat supply,Finland,2018,140.7
Total fat supply,Finland,2019,131.5
Total fat supply,Finland,2020,139.7
Total fat supply,France,1995,164.4
Total fat supply,France,1996,162.4
Total fat supply,France,1997,166.0
Total fat supply,France,1998,167.9
Total fat supply,France,1999,168.4
Total fat supply,France,2000,169.9
Total fat supply,France,2001,171.4
Total fat supply,France,2002,171.1
Total fat supply,France,2003,168.4
Total fat supply,France,2004,161.8
Total fat supply,France,2005,162.9
Total fat supply,France,2006,162.9
Total fat supply,France,2007,160.4
Total fat supply,France,2008,167.3
Total fat supply,France,2009,165.1
Total fat supply,France,2010,162.7
Total fat supply,France,2011,160.5
Total fat supply,France,2012,156.9
Total fat supply,France,2013,158.4
Total fat supply,France,2014,149.3
Total fat supply,France,2015,148.6
Total fat supply,France,2016,149.6
Total fat supply,France,2017,149.1
Total fat supply,France,2018,149.9
Total fat supply,France,2019,153.4
Total fat supply,France,2020,152.4
Total fat supply,Germany,1995,138.2
Total fat supply,Germany,1996,144.4
Total fat supply,Germany,1997,143.2
Total fat supply,Germany,1998,143.6
Total fat supply,Germany,1999,140.7
Total fat supply,Germany,2000,142.8
Total fat supply,Germany,2001,137.1
Total fat supply,Germany,2002,139.0
Total fat supply,Germany,2003,139.2
Total fat supply,Germany,2004,138.6
Total fat supply,Germany,2005,139.0
Total fat supply,Germany,2006,140.7
Total fat supply,Germany,2007,146.0
Total fat supply,Germany,2008,144.1
Total fat supply,Germany,2009,142.8
Total fat supply,Germany,2010,144.1
Total fat supply,Germany,2011,145.6
Total fat supply,Germany,2012,144.3
Total fat supply,Germany,2013,141.8
Total fat supply,Germany,2014,142.2
Total fat supply,Germany,2015,143.7
Total fat supply,Germany,2016,145.1
Total fat supply,Germany,2017,146.2
Total fat supply,Germany,2018,151.3
Total fat supply,Germany,2019,164.5
Total fat supply,Germany,2020,164.8
Total fat supply,Greece,1995,145.7
Total fat supply,Greece,1996,145.4
Total fat supply,Greece,1997,146.9
Total fat supply,Greece,1998,147.7
