"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1995","1995",80.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1996","1996",81.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1997","1997",81.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1998","1998",81.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1999","1999",81.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2000","2000",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2001","2001",82.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2002","2002",82.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2003","2003",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2004","2004",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2005","2005",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2006","2006",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2007","2007",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2008","2008",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2009","2009",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2018","2018",84.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2019","2019",85,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2020","2020",85.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1995","1995",42.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1996","1996",42.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1997","1997",42.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1998","1998",42.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1999","1999",43,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2000","2000",43.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2001","2001",43.6,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2002","2002",43.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2003","2003",43.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2004","2004",44.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2005","2005",44.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2006","2006",44.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2007","2007",44.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2008","2008",44.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2009","2009",44.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2010","2010",44.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2011","2011",45.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2012","2012",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2013","2013",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2014","2014",45.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2015","2015",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2016","2016",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2017","2017",45.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2018","2018",45.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2019","2019",45.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2020","2020",46.1,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1995","1995",23.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1996","1996",23.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1997","1997",24,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1998","1998",24.3,,
